frame, time,Joint6: JointValue (degree),Joint6: JointVel (degree/s),Joint6: JointAccl (degree/s^2),Joint6: GenForce (N.m),Joint5: JointValue (degree),Joint5: JointVel (degree/s),Joint5: JointAccl (degree/s^2),Joint5: GenForce (N.m),Joint4: JointValue (degree),Joint4: JointVel (degree/s),Joint4: JointAccl (degree/s^2),Joint4: GenForce (N.m),Joint3: JointValue (degree),Joint3: JointVel (degree/s),Joint3: JointAccl (degree/s^2),Joint3: GenForce (N.m),Joint2: JointValue (degree),Joint2: JointVel (degree/s),Joint2: JointAccl (degree/s^2),Joint2: GenForce (N.m),Joint1: JointValue (degree),Joint1: JointVel (degree/s),Joint1: JointAccl (degree/s^2),Joint1: GenForce (N.m),
40,0.39,0.00182472001408048,0.0486325547675715,0.966054282607176,-4.04764167904812E-05,2.6844984656657,24.5051984100774,156.280551222033,0.00413555976742159,0.8166284098614,8.93092867005556,75.7116638175426,0.000161321600887445,30.6768216931904,136.229262949792,179.568741126782,0.588077040075388,33.9877831949673,166.759670356502,374.391340231875,0.747600902454423,-0.81743625987444,-8.94991658949425,-76.0563478380275,1.36362686430327,
41,0.4,0.00237731709339018,0.0624690947660109,1.22714539550212,-5.0647882607201E-05,2.93763684856158,26.151174033085,161.918355527909,0.00399190659483253,0.910138473182815,9.7904336665576,82.379468033599,0.000199651261713937,32.0467119086711,137.836765542946,167.106261006263,0.579441720421645,35.6730374840626,170.414351321971,368.654201481106,0.852090658836495,-0.911159280804692,-9.81422879604198,-82.8093648169601,1.4569425544933,
42,0.41,0.00308577338909217,0.0799480923256887,1.55308367774118,-6.30757210165919E-05,3.20749758037573,27.8506258111533,167.373152846724,0.00383428325047715,1.01261798688835,10.7267215180432,89.7025553444394,0.000246948863392152,33.4320391222213,139.317769143571,154.50757802712,0.568896783024749,37.3945098014514,174.005499163463,362.507756835257,0.961669211480157,-1.01390549403197,-10.7565040487395,-90.2382452172173,1.5555832444114,
43,0.42,0.00399075757979454,0.101950869788574,1.95858544836829,-7.81990168090733E-05,3.49460388558778,29.6012334140102,172.612461280911,0.00366606618674681,1.12487222196778,11.7474756594681,97.7547335833657,0.00030525278441931,34.8315339558424,140.67134399733,141.801221343644,0.556519688212563,39.1515438933814,177.528862602826,355.940934192875,1.07609266502237,-1.12649333271064,-11.7847086803013,-98.4216454485141,1.65916441921289,
44,0.43,0.00514269250947279,0.129553621110169,2.46140092072079,-9.65303914510497E-05,3.79945410920456,31.4003378780311,177.602866198052,0.00349171532297063,1.24778735371633,12.8612089995897,106.616100643698,0.000377035065233769,36.2439192193536,141.896857556917,129.01662397163,0.542418459179821,40.9434405591038,180.980102895298,348.944162357149,1.19506456501482,-1.24982528003761,-12.9077042676781,-107.445605061271,1.76703122903971,
45,0.44,0.00660389248540758,0.164066326483079,3.08286654622057,-0.000118665356063401,4.12251828538062,33.2449322975792,182.310028105745,0.00331698474574948,1.38233901252439,14.0773133989852,116.372349204768,0.000465279372665112,37.6679128998467,142.993977360323,116.183745846036,0.526733995907795,42.7694568621781,184.354811166661,341.509536614579,1.31823181885689,-1.38489714731826,-14.1353115001056,-117.403073597141,1.8781756828304,
46,0.45,0.00845112196366538,0.207078256521602,3.84853020300279,-0.000145291540743968,4.46423461174603,35.1316522297431,186.698665765654,0.0031491676555203,1.52960124059563,15.4060895724422,127.113326803391,0.000573565502394708,39.1022311522287,143.962668091003,103.33257202419,0.509642199376028,44.6288055205574,187.648526743685,333.630946507579,1.44517880847451,-1.53280791497362,-15.4783571516403,-128.392724402732,1.99113269749418,
47,0.46,0.0107786445271412,0.260510639885199,4.78884239729092,-0.000177196900042389,4.8250058255679,37.0567656275664,190.732516623491,0.0029973761327341,1.69075559580215,16.8587439492118,138.930488330376,0.000706156239893684,40.5455912233249,144.803180845216,90.4924419069232,0.491355751122501,46.5206544818199,190.85675571193,325.30414225639,1.57541855375289,-1.69476990572087,-16.9486909198884,-140.516688470472,2.10385092633298,
48,0.47,0.013701835479145,0.326676768271586,5.93989348131508,-0.000215275417555967,5.20519547672519,39.016162279641,194.374284644313,0.00287285107976101,1.86709998102723,18.4473330616732,151.91273450197,0.000868078696776489,41.9967142189457,145.516031933288,77.6911493503403,0.472125282988301,48.444126680476,193.974988559381,316.526707652601,1.70837936003472,-1.87211889786005,-18.5591527658809,-153.876690822646,2.21353443220796,
49,0.48,0.0173614315150701,0.408349235404698,7.34415513827617,-0.0002605279848642,5.6051240937553,41.0053430701591,197.585599142486,0.00278928783454776,2.06005654467134,20.1846279459603,166.139941797348,0.00106518646449386,43.4543275922003,146.101967620531,64.9537333328762,0.452239492084062,50.3982999604689,196.9987152614,307.297895980601,1.84338489745216,-2.06632355316076,-20.3234629905263,-168.567872255037,2.31645225809914,
50,0.49,0.0219284832962822,0.508832997218365,9.05114983434636,-0.000314054922004049,6.02506524513786,43.0194099832317,200.327029929145,0.00276314559576156,2.2711776718391,22.0838603473807,181.673252193738,0.00130418017757147,44.9171671897487,146.561910037358,52.300854666098,0.432023473621137,52.3822071263929,199.923435502246,297.618271270877,1.97962518669395,-2.27899320271709,-22.2559960472637,-184.669323538961,2.40771546398124,
